cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
7944196000111,7944196,MATRIZ,ACESSAR - SOLUCOES EM INFORMATICA LTDA,NAO,10000
7989117000199,7989117,MATRIZ,ADIANTI SOLUCOES EM INFORMATICA LTDA,NAO,28000
8029924000122,8029924,MATRIZ,NET1 - CONSULTORIA EM INFORMATICA E LOCACAO DE BENS - EIRELI,NAO,445000
8150225000136,8150225,MATRIZ,VELITI SOLUCOES LTDA,SIM,25000
8533856000134,8533856,MATRIZ,"B X T COMERCIO, SERVICOS, IMPORTACAO E EXPORTACAO DE SOFTWARE LTDA",NAO,80000
8597777000197,8597777,MATRIZ,TCB CONSULTORIA E EMPREENDIMENTOS EIRELI,NAO,110000
8640367000181,8640367,MATRIZ,DICE INFORMATICA LTDA,SIM,9000
8671358000158,8671358,MATRIZ,DIGITAL UP - TECNOLOGIA EM SISTEMAS LTDA,SIM,500000
8682040000172,8682040,MATRIZ,O.S. SYSTEMS SOFTWARE LTDA,NAO,180000
8716906000119,8716906,MATRIZ,DUOPACTO CONSULTORIA E SISTEMAS LTDA,NAO,6000
8765613000121,8765613,MATRIZ,SOLUTTIONS - SOLUCAO EM TECNOLOGIA LTDA,NAO,481000
8851703000135,8851703,MATRIZ,RAF TELECOM LTDA,NAO,45000
8879628000110,8879628,MATRIZ,QUIRIUS SOLUCOES EM INFORMATICA LTDA,NAO,58781
9008823000138,9008823,MATRIZ,FTI TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
9044119000130,9044119,MATRIZ,AVA TECNOLOGIA LTDA,SIM,100000
9052375000170,9052375,MATRIZ,E-NET COMERCIO DE PRODUTOS E SERVICOS DE INFORMATICA LTDA,NAO,10000
9129117000144,9129117,MATRIZ,MACHINE LOCADORA LTDA,NAO,10000
9176594000160,9176594,MATRIZ,BECOMEX DIGITAL SERVICOS DE CONSULTORIA LTDA,NAO,100000
9251361000185,9251361,MATRIZ,DB TECNOLOGIA DA INFORMACAO EIRELI,NAO,62200
9254750000164,9254750,MATRIZ,EASYBYTE INFORMATICA LTDA.,SIM,30000
9276674000198,9276674,MATRIZ,EASYONE CONSULTORIA LTDA,NAO,70000
9311034000171,9311034,MATRIZ,FERNANDO OMAR SIMON MADERA,NAO,10000
9349805000110,9349805,MATRIZ,INDYXA SERVICOS E SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
9401653000157,9401653,MATRIZ,R.J.D. CONSULTORIA E TECNOLOGIA PARA NEGOCIOS LTDA,NAO,16666
9416343000106,9416343,MATRIZ,L. F. KASPRIK TECNOLOGIA DA INFORMACAO EIRELI,SIM,100000
